"Grid_code" "buffer_size" "natural" "cultivated" "artificial"
"1" "20_CAM_01" 500 100 0 0
"2" "20_CAM_02" 500 100 0 0
"3" "20_CAM_03" 500 100 0 0
"4" "20_CAM_04" 500 100 0 0
"5" "20_CAM_05" 500 100 0 0
"6" "21_CAM_01" 500 74.3 25.3 0.4
"7" "21_CAM_02" 500 62.7 37.3 0
"8" "21_CAM_03" 500 100 0 0
"9" "21_CAM_04" 500 50.9 49.1 0
"10" "21_CAM_05" 500 67.3 32.7 0
"11" "21_CAM_06" 500 72.2 27.4 0.4
"12" "21_CAM_07" 500 56.9 42.9 0.1
"13" "21_CAM_08" 500 24 68.3 7.7
"14" "21_CAM_09" 500 28.2 63.8 8.1
"15" "21_CAM_10" 500 99.6 0 0.4
"16" "21_CAM_11" 500 99.2 0.4 0.4
"17" "21_CAM_12" 500 46.4 51.9 1.7
"18" "21_CAM_13" 500 53.7 44.6 1.7
"19" "21_CAM_16" 500 100 0 0
"20" "21_CAM_17" 500 100 0 0
"21" "21_CAM_18" 500 100 0 0
"22" "22_CAM_01" 500 97.8 2 0.2
"23" "22_CAM_02" 500 96.8 2.9 0.2
"24" "22_CAM_03" 500 96.2 3.8 0
"25" "22_CAM_04" 500 98.4 1.6 0
"26" "22_CAM_05" 500 93.3 4.1 2.7
"27" "22_CAM_06" 500 88.5 11.5 0
"28" "22_CAM_07" 500 94 4.6 1.5
"29" "22_CAM_08" 500 34 57.2 8.8
"30" "22_CAM_09" 500 29.7 62.2 8.1
"31" "22_CAM_10" 500 89.1 4 6.9
"32" "22_CAM_11" 500 92.2 4.1 3.8
"33" "22_CAM_12" 500 98.4 0 1.6
"34" "22_CAM_13" 500 97.5 0 2.5
"35" "22_CAM_14" 500 93.4 0 6.6
"36" "22_CAM_15" 500 95.2 0 4.8
"37" "22_CAM_16" 500 72.9 27.1 0
"38" "22_CAM_17" 500 79.9 20.1 0
"39" "22_CAM_18" 500 19 81 0
"40" "22_CAM_19" 500 40.7 59.2 0
"41" "22_CAM_20" 500 100 0 0
"42" "22_CAM_21" 500 100 0 0
