"Grid_code" "Collection_date" "Ecosystem" "Country" "Locality" "X" "Y" "Num" "pHwater" "lime_tot" "MO" "Phos" "K" "Mg" "Ca" "Na" "N" "C" "CN" "clay" "SiltF" "SiltC" "SandF" "SandC" "Cl" "Res" "Cond" "Profondeur" "dep_oxy_num" "depth_oxy" "Pature" "Fauche" "Plant_richness_grid" "Plant_shannon_grid" "Plant_simpson_grid" "Virus_richness_grid" "Virus_shannon_grid" "Virus_simpson_grid"
"1" "20_CAM_01" "2020-06-22" "Mediterranean salt grassland" "France" "Arles" 4.66500403359532 43.4770370274782 "2307063" 8.4 21 7.8 42 1626 1868 12708 3267 4349 45.2436194895592 10.4032236122233 38 35.8 19.9 4.4 1.9 2560 520 192.307692307692 "10" 10 "10-19" 1 0 24 3.023 0.946 14 2.599 0.922
"2" "20_CAM_02" "2020-06-22" "Mediterranean salt grassland" "France" "Arles" 4.6644079964608 43.4769019950181 "2307064" 8.6 20 8.09 43 1238 1629 12100 2778 4709 46.9257540603248 9.96512084525904 35.1 36.9 19.9 4.4 3.7 2100 580 172.413793103448 "10" 10 "10-19" 1 0 18 2.586 0.908 4 1.386 0.75
"3" "20_CAM_03" "2020-06-22" "Parapholis-dominated salt grassland" "France" "Arles" 4.66458602808416 43.4772050008178 "2307065" 8.6 20 8 40 951 1891 11451 3116 4316 46.4037122969838 10.7515552124615 36.4 37 19.2 4.8 2.6 2680 480 208.333333333333 "5" 5 "0-9" 1 0 19 2.629 0.911 12 2.441 0.908
"4" "20_CAM_04" "2020-06-22" "Mediterranean grassland" "France" "Arles" 4.6638569701463 43.47680401057 "2307066" 8.4 16 9 44 856 1206 13349 694 4629 52.2041763341067 11.2776358466422 31.2 32.8 16.8 9.2 10 370 1850 54.0540540540541 "18" 18 "10-19" 1 0 13 2.228 0.862 30 3.237 0.951
"5" "20_CAM_05" "2020-06-23" "Mediterranean grassland" "France" "Arles" 4.66249700635672 43.476521037519 "2307067" 8.6 23 7.89 38 758 1732 12384 1723 4092 45.7656612529002 11.1841791918134 38.2 36 11.7 6.7 7.4 1100 930 107.52688172043 "20" 20 "20-29" 1 0 14 2.236 0.849 24 2.997 0.931
"6" "21_CAM_01" "2021-04-22" "Mediterranean grassland annuals" "France" "Arles" 4.7042403291485 43.414448767808 "2307068" 8.2 21 2.95 29 193 163 11397 96 2070 17.1113689095128 8.26636179203515 18.6 16.7 10 19.5 35.2 128 4490 22.271714922049 ">40" 40 ">40" 1 0 39 3.392 0.96 12 2.344 0.886
"7" "21_CAM_02" "2021-05-07" "Mediterranean grassland annuals" "France" "Arles" 4.70189630659263 43.4174973370585 "2307069" 8.4 22 1.32 42 90 100 8054 40 924 7.65661252900232 8.28637719588996 7.6 3.6 6.1 20.6 62.1 54 6500 15.3846153846154 ">40" 40 ">40" 1 0 40 3.469 0.964 7 1.906 0.844
"8" "21_CAM_03" "2021-05-07" "Mediterranean salt grassland" "France" "Arles" 4.66514298966056 43.4075228952236 "2307070" 8.8 18 0.69 26 63 185 7959 201 424 4.00232018561485 9.43943440003502 2.9 1.7 4.6 18.8 72 320 3150 31.7460317460317 "35" 35 "30-39" 0 0 27 3.053 0.944 0 0 0
"9" "21_CAM_04" "2021-05-12" "Restored grassland" "France" "Arles" 4.69478803686798 43.5007029958069 "2307071" 8.5 28 2.23 50 566 1621 10142 4010 1554 12.9350348027842 8.32370321929487 42.4 43.4 9.4 3.6 1.2 4140 310 322.58064516129 "30" 30 "30-39" 1 0 9 1.841 0.804 1 0 0
"10" "21_CAM_05" "2021-05-12" "Pond grassland" "France" "Arles" 4.69538031949132 43.4941092442781 "2307072" 8.1 28 5.31 31 425 1442 12033 2384 3359 30.800464037123 9.16953380087019 40.4 40.4 10.4 5.5 3.3 2480 450 222.222222222222 "15" 15 "10-19" 1 0 11 2.079 0.846 3 1.099 0.667
"11" "21_CAM_06" "2021-05-12" "Pond grassland" "France" "Arles" 4.69619543088929 43.4882861096488 "2307073" 8 27 4.36 59 365 1271 12174 2342 2351 25.2900232018562 10.7571344967487 36.8 46.3 9.3 4.4 3.2 3020 410 243.90243902439 "27" 27 "20-29" 1 0 12 2.259 0.878 1 0 0
"12" "21_CAM_07" "2021-05-12" "Restored grassland" "France" "Arles" 4.70331164239781 43.4847478824991 "2307074" 8.1 28 3.48 69 301 1384 11267 2458 2149 20.1856148491879 9.39302691911956 33.7 47.2 14.4 3.1 1.6 3180 380 263.157894736842 "15" 15 "10-19" 1 0 10 2.08 0.86 1 0 0
"13" "21_CAM_08" "2021-05-25" "Farmland meadow" "France" "Arles" 4.6624799580786 43.5788247199816 "2307075" 8.2 26 5.26 61 88 727 11788 280 2947 30.5104408352668 10.3530508433209 21.2 30.4 26.3 19.3 2.8 96 2430 41.1522633744856 "27" 27 "20-29" 0 1 8 1.728 0.796 5 1.359 0.68
"14" "21_CAM_09" "2021-05-25" "Farmland meadow" "France" "Arles" 4.66257 43.58004 "2307076" 8 28 6.63 48 69 264 11929 91 3689 38.4570765661253 10.4247971174099 19.2 27.3 24.1 25.5 3.9 26 3570 28.0112044817927 "27" 27 "20-29" 0 1 10 2.029 0.849 8 1.803 0.795
