"Host_code" "Viral_richness" "Plant_richness" "year" "grid" "quadra" "total_cover" "Host_community" "GPS_localisation" "Locality" "Country" "Ecosystem" "Collection_date" "Sequencing_plate" "Biomass" "Grid_code" "Vegetation" "Litter" "Soil" "Free_space"
"1" "20_CAM_010900" 1 15 "20" "01" "09" 128.5 "Centaurium tenuiflorum subsp. acutiflorum_0,5;Parapholis filiformis_0,5;Trifolium squamosum_10;Inula britannica_3;Hordeum secalinum_10;Bupleurum tenuissimum_3;Leontodon saxatilis_10;Gastridium ventricosum_20;Lotus jordanii_20;Elytrigia sp._10;Blackstonia acuminata_0,5;Oenanthe sp._3;Galium palustre_0,5;Cynodon dactylon_37,5" "43.477037027478218,4.665004033595324" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_A07" 8.96 "20_CAM_01" 95 5 0 5
"2" "20_CAM_020700" 1 11 "20" "02" "07" 129.5 "Parapholis filiformis_20;Trifolium squamosum_20;Limonium narbonense_20;Elytrigia sp._37,5;Trifolium lappaceum_0,5;Juncus gerardi_0,5;Cynodon dactylon_20;Inula britannica_0,5;Cuscuta sp._10;Linum usitatissimum subsp. angustifolium_0,5" "43.476901995018125,4.664407996460795" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_B02" 19.5 "20_CAM_02" 90 10 0 10
"3" "20_CAM_020400" 2 9 "20" "02" "04" 116.5 "Parapholis filiformis_62,5;Trifolium squamosum_20;Limonium narbonense_10;Elytrigia sp._3;Juncus gerardi_0,5;Centaurium tenuiflorum subsp. acutiflorum_10;Cynodon dactylon_10;Hordeum secalinum_0,5" "43.476901995018125,4.664407996460795" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_B04" 6.31 "20_CAM_02" 80 20 0 20
"4" "20_CAM_020100" 1 7 "20" "02" "01" 99 "Parapholis filiformis_62,5;Trifolium squamosum_10;Limonium narbonense_20;Bupleurum tenuissimum_3;Elytrigia sp._3;Trifolium lappaceum_0,5" "43.476901995018125,4.664407996460795" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_C06" 4.25 "20_CAM_02" 80 20 0 20
"5" "20_CAM_010300" 8 15 "20" "01" "03" 105.5 "Centaurium tenuiflorum subsp. acutiflorum_3;Parapholis filiformis_3;Trifolium squamosum_10;Inula britannica_3;Bupleurum tenuissimum_3;Gastridium ventricosum_10;Lotus jordanii_0,5;Elytrigia sp._3;Blackstonia acuminata_0,5;Galium palustre_3;Cynodon dactylon_62,5;Carex divisa_3;Juncus gerardi_0,5;Sonchus sp._0,5" "43.477037027478218,4.665004033595324" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_C11" 8.63 "20_CAM_01" 95 5 0 5
"6" "20_CAM_010800" 1 13 "20" "01" "08" 131.5 "Centaurium tenuiflorum subsp. acutiflorum_3;Parapholis filiformis_0,5;Trifolium squamosum_10;Hordeum secalinum_3;Bupleurum tenuissimum_3;Leontodon saxatilis_20;Gastridium ventricosum_20;Lotus jordanii_3;Blackstonia acuminata_0,5;Hedypnois rhagadioloides_3;Galium palustre_3;Cynodon dactylon_62,5" "43.477037027478218,4.665004033595324" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_D08" 14.8 "20_CAM_01" 95 5 0 5
"7" "20_CAM_010200" 1 16 "20" "01" "02" 107 "Centaurium tenuiflorum subsp. acutiflorum_37,5;Parapholis filiformis_20;Trifolium squamosum_0,5;Inula britannica_3;Bupleurum tenuissimum_0,5;Leontodon saxatilis_10;Gastridium ventricosum_3;Lotus jordanii_10;Elytrigia sp._10;Plantago coronopus_10;Trifolium lappaceum_0,5;Trifolium campestre_0,5;Blackstonia acuminata_0,5;Hedypnois rhagadioloides_0,5;Oenanthe sp._0,5" "43.477037027478218,4.665004033595324" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_F12" 11.6 "20_CAM_01" 95 5 0 5
"8" "20_CAM_010700" 5 16 "20" "01" "07" 101.5 "Centaurium tenuiflorum subsp. acutiflorum_0,5;Trifolium squamosum_0,5;Inula britannica_3;Bupleurum tenuissimum_0,5;Leontodon saxatilis_3;Gastridium ventricosum_20;Lotus jordanii_0,5;Elytrigia sp._3;Plantago coronopus_0,5;Trifolium campestre_0,5;Blackstonia acuminata_0,5;Hedypnois rhagadioloides_3;Cynodon dactylon_62,5;Carex divisa_0,5;Lotus glaber_3" "43.477037027478218,4.665004033595324" "Arles" "France" "Mediterranean salt grassland" "2020-06-22" "20CAM-1_G09" 9.92 "20_CAM_01" 95 5 0 5
"9" "20_CAM_040500" 10 4 "20" "04" "05" 60 "Juncus maritimus_20;Elytrigia sp._20;Brachypodium phoenicoides_20" "43.476804010570049,4.663856970146298" "Arles" "France" "Mediterranean grassland" "2020-06-22" "20CAM-2_A02" 26.44 "20_CAM_04" 75 15 0 15
"10" "20_CAM_040400" 5 5 "20" "04" "04" 26 "Juncus maritimus_10;Lactuca saligna_3;Elytrigia sp._3;Brachypodium phoenicoides_10" "43.476804010570049,4.663856970146298" "Arles" "France" "Mediterranean grassland" "2020-06-22" "20CAM-2_B03" 15.3 "20_CAM_04" 25 75 0 75
