"Host_code" "Centaurium tenuiflorum subsp. acutiflorum" "Parapholis filiformis" "Trifolium squamosum" "Limonium narbonense" "Inula britannica" "Hordeum secalinum" "Bupleurum tenuissimum" "Leontodon saxatilis" "Gastridium ventricosum" "Lotus jordanii" "Elytrigia sp." "Hedypnois rhagadioloides" "Plantago coronopus" "Trifolium lappaceum" "Trifolium campestre" "Blackstonia acuminata" "Oenanthe sp." "Galium palustre" "Cynodon dactylon" "Carex divisa" "Juncus gerardi" "Sonchus sp." "Lactuca saligna" "Lotus glaber" "Podospermum laciniatum" "Trifolium resupinatum" "Cuscuta sp." "Linum usitatissimum subsp. angustifolium" "Bromus hordeaceus" "Bupleurum semicompositum" "Melilotus indicus" "Aeluropus littoralis" "Lysimachia arvensis" "Trifolium nigrescens" "Medicago polymorpha" "Atriplex prostrata" "Bellis annua" "Aster squamatus" "Trifolium tomentosum" "Juncus maritimus" "Crepis pulchra" "Polygonum aviculare" "Brachypodium phoenicoides" "Aristolochia rotunda" "Iris reichenbachiana" "Ranunculus bulbosus" "Sherardia arvensis" "Dactylis glomerata subsp. hispanica" "Torilis nodosa subsp. nodosa" "Geranium dissectum" "Galium spurium" "Halimione portulacoides" "Dactylis glomerata" "Phillyrea angustifolia" "Plantago lanceolata" "Convolvulus arvensis" "Poa trivialis" "Geranium molle" "Gramineae sp." "Daucus carota" "Poa pratensis" "Lolium perenne" "Trifolium pratense" "Holcus lanatus" "Trifolium repens" "Cuscuta campestris" "Sonchus oleraceus" "Veronica arvensis" "Galium aparine" "Helminthotheca echioides" "Ranunculus acris" "Vicia sativa" "Potentilla reptans" "Leontodon sp." "Plantago lagopus" "Euphorbia exigua" "Filago pygmaea" "Erodium cicutarium" "Crepis capillaris" "Galium murale" "Brachypodium distachyon" "Crepis sancta" "Euphorbia falcata" "Centaurium sp." "Hypochaeris glabra" "Cerastium pumilum" "Plantago bellardii" "Catapodium rigidum" "Trifolium sp." "Poa bulbosa" "Lobularia maritima" "Arenaria leptoclados" "Crepis vesicaria subsp. taraxacifolia" "Lysimachia linum-stellatum" "Vulpia ciliata subsp. ciliata" "Galium parisiense" "Trifolium scabrum" "Cerastium semidecandrum" "Medicago monspeliaca" "Sonchus bulbosus" "Trifolium suffocatum" "Scolymus hispanicus" "Salvia verbenaca subsp. clandestina" "Erigeron sp." "Sabulina tenuifolia" "Filago pyramidata" "Trigonella esculenta" "Polycarpon tetraphyllum" "Lagurus ovatus" "Elytrigia acuta" "Valantia muralis" "Limonium virgatum" "Parapholis incurva" "Blackstonia sp." "Bromus diandrus" "Medicago littoralis" "Medicago minima" "Bromus madritensis" "Rostraria pubescens" "Vulpia sp." "Phleum arenarium" "Hordeum marinum" "Juncus subulatus" "Salicornia europaea" "Bolboschoenus maritimus" "Phragmites australis" "Paspalum distichum" "Polypogon monspeliensis" "Asteraceae sp." "Puccinellia festuciformis" "Ranunculus peltatus subsp. peltatus" "Spergularia sp." "Schedonorus arundinaceus" "Polypogon sp." "Aster maritimus" "Carex otrubae" "Suaeda splendens" "Suaeda spicata" "Paspalum dilatatum" "Schedonorus pratensis" "Tragopogon sp." "Solanum villosum" "Agrostis stolonifera" "Trifolium fragiferum" "Ulmus minor" "Agrimonia eupatoria" "Amaranthaceae sp." "Ranunculus sardous" "Elytrigia campestris" "Ervum gracile" "Avena barbata" "Avena sterilis" "Festuca sp." "Lathyrus hirsutus" "Bromus lanceolatus" "Scabiosa atropurpurea" "Scorpiurus muricatus" "Linum strictum" "Hippocrepis biflora" "Blackstonia perfoliata subsp. perfoliata" "Artemisia campestris subsp. glutinosa" "Helichrysum stoechas" "Silene italica" "Sporobolus pungens" "Vulpia fasciculata" "Malcolmia littorea" "Carex extensa" "Limbarda crithmoides" "Spartina patens" "Sonchus maritimus" "Pinus pinea" "Schoenus nigricans" "Medicago arabica" "Filago sp." "Sabulina mediterranea" "Stellaria pallida" "Rumex pulcher" "Draba verna" "Medicago truncatula" "Senecio vulgaris subsp. vulgaris" "Ajuga iva" "Romulea ramiflora" "Herniaria cinerea" "Hordeum murinum subsp. leporinum" "Carduus tenuiflorus" "Centaurea melitensis" "Sagina apetala" "Neatostema apulum" "Bromus sp." "Allium polyanthum" "Bromus rubens" "Taraxacum sp." "Linum sp." "Trifolium stellatum" "Polygala monspeliaca" "Sideritis romana" "Vulpia unilateralis" "Parapholis sp." "Muscari neglectum" "Crepis sp." "Rostraria cristata" "Asparagus acutifolius" "Lolium rigidum" "Hypochaeris sp." "Pallenis spinosa" "Hordeum murinum" "Muscari comosum" "Carduus sp." "Urospermum picroides" "Cerastium glomeratum" "Sagina maritima" "Hornungia procumbens" "Polygonum maritimum" "Hainardia cylindrica" "Rubus ulmifolius" "Limonium girardianum" "Alopecurus bulbosus" "Prunus spinosa" "Tragopogon pratensis subsp. orientalis" "Taraxacum officinale gpe" "Galium mollugo" "Rumex crispus" "Picris hieracioides subsp. hieracioides" "Lathyrus setifolius" "Eleocharis palustris" "Plantago major" "Medicago marina" "Crepis foetida" "Ammophila arenaria subsp. arundinacea" "Elytrigia juncea subsp. juncea" "Anthemis maritima" "Salicornia alpini" "Salicornia fruticosa" "Salicornia sp." "Arthrocaulon macrostachyum" "Juncus bufonius gpe" "Myosurus minimus" "Spergularia bocconei" "Lythrum hyssopifolia"
"20_CAM_010100" 0.5 62.5 10 10 0.5 3 3 3 0.5 0.5 3 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010200" 37.5 20 0.5 0 3 0 0.5 10 3 10 10 0.5 10 0.5 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010300" 3 3 10 0 3 0 3 0 10 0.5 3 0 0 0 0 0.5 0 3 62.5 3 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010400" 20 0.5 0.5 10 0 0 3 20 20 3 3 0 0 10 0 0.5 3 0 37.5 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010500" 3 0.5 0 0 3 0 0 37.5 0.5 3 10 10 0 0 0 0.5 0 0 37.5 0 0.5 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010600" 3 20 3 0 3 0 3 37.5 0.5 0.5 10 0 0.5 3 0.5 0 0 0 20 0 0 0 0 37.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010700" 0.5 0 0.5 0 3 0 0.5 3 20 0.5 3 3 0.5 0 0.5 0.5 0 0 62.5 0.5 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010800" 3 0.5 10 0 0 3 3 20 20 3 0 3 0 0 0 0.5 0 3 62.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_010900" 0.5 0.5 10 0 3 10 3 10 20 20 10 0 0 0 0 0.5 3 0.5 37.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20_CAM_020100" 0 62.5 10 20 0 0 3 0 0 0 3 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
