"Host_code" "clust_smb_quad_plant" "clust_smb_quad_virus" "Grid_code" "clus_famd_grid_env" "Collection_date"
"1" "20_CAM_010100" 3 2 "20_CAM_01" "3" "2020-06-22"
"2" "20_CAM_010200" 3 2 "20_CAM_01" "3" "2020-06-22"
"3" "20_CAM_010300" 3 2 "20_CAM_01" "3" "2020-06-22"
"4" "20_CAM_010400" 3 2 "20_CAM_01" "3" "2020-06-22"
"5" "20_CAM_010500" 3 1 "20_CAM_01" "3" "2020-06-22"
"6" "20_CAM_010600" 3 2 "20_CAM_01" "3" "2020-06-22"
"7" "20_CAM_010700" 3 2 "20_CAM_01" "3" "2020-06-22"
"8" "20_CAM_010800" 3 1 "20_CAM_01" "3" "2020-06-22"
"9" "20_CAM_010900" 3 1 "20_CAM_01" "3" "2020-06-22"
"10" "20_CAM_020100" 3 2 "20_CAM_02" "3" "2020-06-22"
"11" "20_CAM_020200" 3 2 "20_CAM_02" "3" "2020-06-22"
"12" "20_CAM_020300" 3 1 "20_CAM_02" "3" "2020-06-22"
"13" "20_CAM_020400" 3 2 "20_CAM_02" "3" "2020-06-22"
"14" "20_CAM_020500" 3 1 "20_CAM_02" "3" "2020-06-22"
"15" "20_CAM_020600" 3 1 "20_CAM_02" "3" "2020-06-22"
"16" "20_CAM_020700" 3 1 "20_CAM_02" "3" "2020-06-22"
"17" "20_CAM_020800" 5 2 "20_CAM_02" "3" "2020-06-22"
"18" "20_CAM_020900" 3 2 "20_CAM_02" "3" "2020-06-22"
"19" "20_CAM_030100" 3 2 "20_CAM_03" "3" "2020-06-22"
"20" "20_CAM_030200" 5 1 "20_CAM_03" "3" "2020-06-22"
"21" "20_CAM_030300" 3 1 "20_CAM_03" "3" "2020-06-23"
"22" "20_CAM_030400" 3 2 "20_CAM_03" "3" "2020-06-23"
"23" "20_CAM_030500" 3 2 "20_CAM_03" "3" "2020-06-23"
"24" "20_CAM_030600" 3 1 "20_CAM_03" "3" "2020-06-22"
"25" "20_CAM_030700" 3 2 "20_CAM_03" "3" "2020-06-23"
"26" "20_CAM_030800" 3 2 "20_CAM_03" "3" "2020-06-23"
"27" "20_CAM_030900" 3 1 "20_CAM_03" "3" "2020-06-23"
"28" "20_CAM_040100" 6 1 "20_CAM_04" "3" "2020-06-23"
"29" "20_CAM_040200" 6 1 "20_CAM_04" "3" "2020-06-23"
"30" "20_CAM_040300" 6 2 "20_CAM_04" "3" "2021-05-12"
"31" "20_CAM_040400" 6 2 "20_CAM_04" "3" "2021-05-07"
"32" "20_CAM_040500" 6 1 "20_CAM_04" "3" "2021-04-22"
"33" "20_CAM_040600" 6 2 "20_CAM_04" "3" "2021-05-07"
"34" "20_CAM_040700" 6 1 "20_CAM_04" "3" "2021-04-22"
"35" "20_CAM_040800" 6 2 "20_CAM_04" "3" "2021-05-25"
"36" "20_CAM_040900" 6 2 "20_CAM_04" "3" "2021-05-12"
"37" "20_CAM_050100" 3 2 "20_CAM_05" "3" "2021-05-07"
"38" "20_CAM_050200" 6 2 "20_CAM_05" "3" "2021-04-22"
"39" "20_CAM_050300" 6 2 "20_CAM_05" "3" "2021-05-25"
"40" "20_CAM_050400" 6 2 "20_CAM_05" "3" "2021-05-12"
"41" "20_CAM_050500" 6 2 "20_CAM_05" "3" "2021-05-07"
"42" "20_CAM_050600" 6 1 "20_CAM_05" "3" "2021-04-22"
"43" "20_CAM_050700" 3 2 "20_CAM_05" "3" "2021-05-25"
"44" "20_CAM_050800" 6 2 "20_CAM_05" "3" "2021-05-12"
"45" "20_CAM_050900" 6 2 "20_CAM_05" "3" "2021-04-22"
"46" "21_CAM_010100" 2 2 "21_CAM_01" "1" "2021-05-25"
"47" "21_CAM_010200" 2 2 "21_CAM_01" "1" "2021-05-12"
"48" "21_CAM_010300" 2 2 "21_CAM_01" "1" "2021-04-22"
"49" "21_CAM_010400" 2 2 "21_CAM_01" "1" "2021-05-07"
"50" "21_CAM_010500" 2 2 "21_CAM_01" "1" "2021-04-22"
"51" "21_CAM_010600" 2 2 "21_CAM_01" "1" "2021-05-07"
"52" "21_CAM_010700" 2 2 "21_CAM_01" "1" "2021-06-21"
"53" "21_CAM_010800" 2 2 "21_CAM_01" "1" "2021-06-21"
"54" "21_CAM_010900" 2 2 "21_CAM_01" "1" "2021-06-08"
"55" "21_CAM_020100" 2 1 "21_CAM_02" "1" "2021-05-25"
"56" "21_CAM_020200" 2 2 "21_CAM_02" "1" "2021-05-25"
"57" "21_CAM_020300" 2 2 "21_CAM_02" "1" "2021-06-08"
"58" "21_CAM_020400" 2 2 "21_CAM_02" "1" "2021-06-08"
"59" "21_CAM_020500" 2 2 "21_CAM_02" "1" "2021-05-25"
"60" "21_CAM_020600" 2 2 "21_CAM_02" "1" "2021-05-25"
"61" "21_CAM_020700" 2 2 "21_CAM_02" "1" "2021-05-25"
"62" "21_CAM_020800" 2 2 "21_CAM_02" "1" "2021-06-21"
"63" "21_CAM_020900" 2 2 "21_CAM_02" "1" "2021-06-08"
"64" "21_CAM_030100" 3 2 "21_CAM_03" "1" "2021-05-25"
"65" "21_CAM_030200" 3 2 "21_CAM_03" "1" "2021-05-25"
