"Host_code" "Grid_code" "quadra_A" "quadra_B" "dist"
"1" "20_CAM_010100" "20_CAM_01" 1 2 9.8
"2" "20_CAM_010100" "20_CAM_01" 1 3 13.8592929112563
"3" "20_CAM_010100" "20_CAM_01" 1 4 9.8
"4" "20_CAM_010100" "20_CAM_01" 1 5 3.39411254969543
"5" "20_CAM_010100" "20_CAM_01" 1 6 7.77946013551069
"6" "20_CAM_010100" "20_CAM_01" 1 7 10.4651803615609
"7" "20_CAM_010100" "20_CAM_01" 1 8 7.77946013551069
"8" "20_CAM_010100" "20_CAM_01" 1 9 6.92964645562817
"9" "20_CAM_010200" "20_CAM_01" 2 3 9.8
"10" "20_CAM_010200" "20_CAM_01" 2 4 13.8592929112563
"11" "20_CAM_010200" "20_CAM_01" 2 5 7.77946013551069
"12" "20_CAM_010200" "20_CAM_01" 2 6 3.39411254969543
"13" "20_CAM_010200" "20_CAM_01" 2 7 7.77946013551069
"14" "20_CAM_010200" "20_CAM_01" 2 8 10.4651803615609
"15" "20_CAM_010200" "20_CAM_01" 2 9 6.92964645562817
"16" "20_CAM_010300" "20_CAM_01" 3 4 9.8
"17" "20_CAM_010300" "20_CAM_01" 3 5 10.4651803615609
"18" "20_CAM_010300" "20_CAM_01" 3 6 7.77946013551069
"19" "20_CAM_010300" "20_CAM_01" 3 7 3.39411254969543
"20" "20_CAM_010300" "20_CAM_01" 3 8 7.77946013551069
"21" "20_CAM_010300" "20_CAM_01" 3 9 6.92964645562817
"22" "20_CAM_010400" "20_CAM_01" 4 5 7.77946013551069
"23" "20_CAM_010400" "20_CAM_01" 4 6 10.4651803615609
"24" "20_CAM_010400" "20_CAM_01" 4 7 7.77946013551069
"25" "20_CAM_010400" "20_CAM_01" 4 8 3.39411254969543
"26" "20_CAM_010400" "20_CAM_01" 4 9 6.92964645562817
"27" "20_CAM_010500" "20_CAM_01" 5 6 5
"28" "20_CAM_010500" "20_CAM_01" 5 7 7.07106781186548
"29" "20_CAM_010500" "20_CAM_01" 5 8 5
"30" "20_CAM_010500" "20_CAM_01" 5 9 3.53553390593274
"31" "20_CAM_010600" "20_CAM_01" 6 7 5
"32" "20_CAM_010600" "20_CAM_01" 6 8 7.07106781186548
"33" "20_CAM_010600" "20_CAM_01" 6 9 3.53553390593274
"34" "20_CAM_010700" "20_CAM_01" 7 8 5
"35" "20_CAM_010700" "20_CAM_01" 7 9 3.53553390593274
"36" "20_CAM_010800" "20_CAM_01" 8 9 3.53553390593274
"37" "20_CAM_020100" "20_CAM_02" 1 2 9.8
"38" "20_CAM_020100" "20_CAM_02" 1 3 13.8592929112563
"39" "20_CAM_020100" "20_CAM_02" 1 4 9.8
"40" "20_CAM_020100" "20_CAM_02" 1 5 3.39411254969543
"41" "20_CAM_020100" "20_CAM_02" 1 6 7.77946013551069
"42" "20_CAM_020100" "20_CAM_02" 1 7 10.4651803615609
"43" "20_CAM_020100" "20_CAM_02" 1 8 7.77946013551069
"44" "20_CAM_020100" "20_CAM_02" 1 9 6.92964645562817
"45" "20_CAM_020200" "20_CAM_02" 2 3 9.8
"46" "20_CAM_020200" "20_CAM_02" 2 4 13.8592929112563
"47" "20_CAM_020200" "20_CAM_02" 2 5 7.77946013551069
"48" "20_CAM_020200" "20_CAM_02" 2 6 3.39411254969543
"49" "20_CAM_020200" "20_CAM_02" 2 7 7.77946013551069
"50" "20_CAM_020200" "20_CAM_02" 2 8 10.4651803615609
"51" "20_CAM_020200" "20_CAM_02" 2 9 6.92964645562817
"52" "20_CAM_020300" "20_CAM_02" 3 4 9.8
"53" "20_CAM_020300" "20_CAM_02" 3 5 10.4651803615609
"54" "20_CAM_020300" "20_CAM_02" 3 6 7.77946013551069
"55" "20_CAM_020300" "20_CAM_02" 3 7 3.39411254969543
"56" "20_CAM_020300" "20_CAM_02" 3 8 7.77946013551069
"57" "20_CAM_020300" "20_CAM_02" 3 9 6.92964645562817
"58" "20_CAM_020400" "20_CAM_02" 4 5 7.77946013551069
"59" "20_CAM_020400" "20_CAM_02" 4 6 10.4651803615609
"60" "20_CAM_020400" "20_CAM_02" 4 7 7.77946013551069
"61" "20_CAM_020400" "20_CAM_02" 4 8 3.39411254969543
"62" "20_CAM_020400" "20_CAM_02" 4 9 6.92964645562817
"63" "20_CAM_020500" "20_CAM_02" 5 6 5
"64" "20_CAM_020500" "20_CAM_02" 5 7 7.07106781186548
"65" "20_CAM_020500" "20_CAM_02" 5 8 5
"66" "20_CAM_020500" "20_CAM_02" 5 9 3.53553390593274
"67" "20_CAM_020600" "20_CAM_02" 6 7 5
"68" "20_CAM_020600" "20_CAM_02" 6 8 7.07106781186548
"69" "20_CAM_020600" "20_CAM_02" 6 9 3.53553390593274
"70" "20_CAM_020700" "20_CAM_02" 7 8 5
"71" "20_CAM_020700" "20_CAM_02" 7 9 3.53553390593274
"72" "20_CAM_020800" "20_CAM_02" 8 9 3.53553390593274
"73" "20_CAM_030100" "20_CAM_03" 1 2 9.8
"74" "20_CAM_030100" "20_CAM_03" 1 3 13.8592929112563
"75" "20_CAM_030100" "20_CAM_03" 1 4 9.8
"76" "20_CAM_030100" "20_CAM_03" 1 5 3.39411254969543
"77" "20_CAM_030100" "20_CAM_03" 1 6 7.77946013551069
"78" "20_CAM_030100" "20_CAM_03" 1 7 10.4651803615609
"79" "20_CAM_030100" "20_CAM_03" 1 8 7.77946013551069
"80" "20_CAM_030100" "20_CAM_03" 1 9 6.92964645562817
"81" "20_CAM_030200" "20_CAM_03" 2 3 9.8
"82" "20_CAM_030200" "20_CAM_03" 2 4 13.8592929112563
"83" "20_CAM_030200" "20_CAM_03" 2 5 7.77946013551069
"84" "20_CAM_030200" "20_CAM_03" 2 6 3.39411254969543
"85" "20_CAM_030200" "20_CAM_03" 2 7 7.77946013551069
"86" "20_CAM_030200" "20_CAM_03" 2 8 10.4651803615609
"87" "20_CAM_030200" "20_CAM_03" 2 9 6.92964645562817
"88" "20_CAM_030300" "20_CAM_03" 3 4 9.8
"89" "20_CAM_030300" "20_CAM_03" 3 5 10.4651803615609
"90" "20_CAM_030300" "20_CAM_03" 3 6 7.77946013551069
"91" "20_CAM_030300" "20_CAM_03" 3 7 3.39411254969543
"92" "20_CAM_030300" "20_CAM_03" 3 8 7.77946013551069
"93" "20_CAM_030300" "20_CAM_03" 3 9 6.92964645562817
"94" "20_CAM_030400" "20_CAM_03" 4 5 7.77946013551069
"95" "20_CAM_030400" "20_CAM_03" 4 6 10.4651803615609
"96" "20_CAM_030400" "20_CAM_03" 4 7 7.77946013551069
"97" "20_CAM_030400" "20_CAM_03" 4 8 3.39411254969543
"98" "20_CAM_030400" "20_CAM_03" 4 9 6.92964645562817
"99" "20_CAM_030500" "20_CAM_03" 5 6 5
"100" "20_CAM_030500" "20_CAM_03" 5 7 7.07106781186548
"101" "20_CAM_030500" "20_CAM_03" 5 8 5
"102" "20_CAM_030500" "20_CAM_03" 5 9 3.53553390593274
"103" "20_CAM_030600" "20_CAM_03" 6 7 5
"104" "20_CAM_030600" "20_CAM_03" 6 8 7.07106781186548
"105" "20_CAM_030600" "20_CAM_03" 6 9 3.53553390593274
"106" "20_CAM_030700" "20_CAM_03" 7 8 5
"107" "20_CAM_030700" "20_CAM_03" 7 9 3.53553390593274
"108" "20_CAM_030800" "20_CAM_03" 8 9 3.53553390593274
"109" "20_CAM_040100" "20_CAM_04" 1 2 9.8
"110" "20_CAM_040100" "20_CAM_04" 1 3 13.8592929112563
"111" "20_CAM_040100" "20_CAM_04" 1 4 9.8
"112" "20_CAM_040100" "20_CAM_04" 1 5 3.39411254969543
"113" "20_CAM_040100" "20_CAM_04" 1 6 7.77946013551069
"114" "20_CAM_040100" "20_CAM_04" 1 7 10.4651803615609
"115" "20_CAM_040100" "20_CAM_04" 1 8 7.77946013551069
"116" "20_CAM_040100" "20_CAM_04" 1 9 6.92964645562817
"117" "20_CAM_040200" "20_CAM_04" 2 3 9.8
"118" "20_CAM_040200" "20_CAM_04" 2 4 13.8592929112563
"119" "20_CAM_040200" "20_CAM_04" 2 5 7.77946013551069
"120" "20_CAM_040200" "20_CAM_04" 2 6 3.39411254969543
"121" "20_CAM_040200" "20_CAM_04" 2 7 7.77946013551069
"122" "20_CAM_040200" "20_CAM_04" 2 8 10.4651803615609
"123" "20_CAM_040200" "20_CAM_04" 2 9 6.92964645562817
"124" "20_CAM_040300" "20_CAM_04" 3 4 9.8
"125" "20_CAM_040300" "20_CAM_04" 3 5 10.4651803615609
"126" "20_CAM_040300" "20_CAM_04" 3 6 7.77946013551069
